ID;BT1;BT2;BT3;BT4;BT5;SB BT;RV1;RV2;RV3;RV4;RV5;SB RV;FECHA
1763;4;17;27;28;42;4;4;7;17;18;20;9;10/03/2018
1764;6;20;25;27;43;4;13;20;26;36;40;14;14/03/2018
1765;7;17;18;30;33;3;6;8;12;17;31;2;17/03/2018
1766;10;14;18;20;33;6;1;3;6;18;20;16;21/03/2018
1767;17;26;28;29;42;11;8;17;20;21;32;7;24/03/2018
1768;3;11;18;24;37;11;1;4;36;37;43;14;28/03/2018
1769;9;15;19;27;30;2;10;12;17;20;32;14;31/03/2018
1770;4;7;10;36;41;4;4;22;29;32;40;3;04/04/2018
1771;13;15;24;33;40;9;10;14;30;37;42;1;07/04/2018
1772;7;20;36;42;43;7;10;11;15;23;38;12;11/04/2018
1773;1;12;28;30;33;3;19;25;29;36;43;6;14/04/2018
1774;3;23;31;35;40;15;14;16;32;34;39;7;18/04/2018
1775;10;12;16;17;27;6;24;31;32;34;42;12;21/04/2018
1776;14;27;34;37;43;13;22;27;28;30;34;16;25/04/2018
1777;10;18;19;36;43;13;1;2;5;14;30;1;28/04/2018
1778;7;37;38;39;41;3;18;32;35;42;43;3;02/05/2018
1779;5;6;14;26;31;11;5;10;16;35;39;8;05/05/2018
1780;11;12;39;40;43;1;4;20;27;32;40;16;09/05/2018
1781;6;10;23;31;34;3;11;16;18;34;36;7;12/05/2018
1782;13;16;28;34;37;1;3;4;8;19;24;11;16/05/2018
1783;12;13;23;35;39;16;8;21;33;34;42;15;19/05/2018
1784;8;11;17;23;39;7;2;23;25;33;36;4;23/05/2018
1785;9;12;16;18;34;11;4;8;17;23;38;2;26/05/2018
1786;6;15;19;27;42;16;7;8;27;38;39;2;30/05/2018
1787;3;16;19;20;23;8;4;8;12;19;30;1;02/06/2018
1788;1;7;12;26;43;14;2;23;27;28;34;9;06/06/2018
1789;1;4;18;21;42;2;13;28;31;35;43;2;09/06/2018
1790;2;8;20;25;27;4;2;3;12;19;35;12;13/06/2018
1791;3;20;22;24;36;6;1;11;14;15;40;7;16/06/2018
1792;7;8;18;25;43;6;7;11;14;30;42;12;20/06/2018
1793;11;12;25;33;39;7;4;19;30;34;43;8;23/06/2018
1794;16;20;29;33;40;3;21;24;31;39;42;14;27/06/2018
1795;3;16;18;30;34;16;4;32;35;36;37;16;30/06/2018
1796;5;7;20;34;37;4;1;13;20;22;32;14;04/07/2018
1797;8;11;22;35;41;10;4;15;30;38;42;1;07/07/2018
1798;6;17;31;32;41;13;3;7;10;13;21;15;11/07/2018
1799;4;13;14;16;33;5;1;5;13;22;23;12;14/07/2018
1800;21;32;33;34;37;11;16;23;25;26;36;16;18/07/2018
1801;12;25;32;33;41;10;5;15;21;22;39;11;21/07/2018
1802;2;13;25;36;43;15;13;15;24;29;30;11;25/07/2018
1803;2;11;26;33;40;15;2;8;19;23;37;1;28/07/2018
1804;2;5;9;11;42;9;7;8;17;32;37;4;01/08/2018
1805;6;16;20;24;30;11;3;18;23;28;43;15;04/08/2018
1806;5;33;34;41;43;7;3;9;29;31;41;5;08/08/2018
1807;2;3;22;28;37;8;24;33;35;36;41;5;11/08/2018
